"Date","Price","Open","High","Low","Vol.","Change %"
"04-11-2024","67.99","70.60","70.60","67.76","1.89M","-0.83%"
"01-11-2024","68.56","68.90","68.90","68.41","1.58M","-0.49%"
"31-10-2024","68.90","69.43","69.43","68.80","1.81M","-0.10%"
"30-10-2024","68.97","69.50","69.50","68.41","2.81M","1.05%"
"29-10-2024","68.25","67.84","68.57","67.84","2.71M","0.84%"
"28-10-2024","67.68","67.51","68.00","67.50","5.63M","0.33%"
"25-10-2024","67.46","67.95","67.95","67.34","3.06M","-0.52%"
"24-10-2024","67.81","67.80","67.85","67.33","2.15M","-0.44%"
"23-10-2024","68.11","71.09","71.09","67.81","3.45M","0.59%"
"22-10-2024","67.71","69.75","69.75","67.51","4.70M","-0.04%"
"21-10-2024","67.74","67.99","67.99","67.29","3.56M","0.89%"
"18-10-2024","67.14","66.72","67.16","66.72","2.28M","1.16%"
"17-10-2024","66.37","66.37","66.74","66.22","1.38M","0.00%"
"16-10-2024","66.37","66.28","66.45","65.94","2.14M","0.82%"
"15-10-2024","65.83","65.85","65.86","65.51","1.52M","-0.17%"
"14-10-2024","65.94","65.99","66.08","65.74","3.19M","0.73%"
"11-10-2024","65.46","65.80","65.80","65.11","2.17M","0.88%"
"10-10-2024","64.89","65.19","65.19","64.60","2.20M","-0.09%"
"09-10-2024","64.95","64.99","65.10","64.65","4.02M","-0.73%"
"08-10-2024","65.43","65.76","65.76","65.11","3.66M","-0.50%"
"07-10-2024","65.76","65.80","65.84","65.39","3.50M","-0.18%"
"04-10-2024","65.88","67.55","67.55","65.73","1.74M","0.47%"
"03-10-2024","65.57","65.99","67.40","65.45","3.64M","0.08%"
"01-10-2024","65.52","65.57","67.00","65.16","5.05M","-0.08%"
"30-09-2024","65.57","67.45","67.45","65.44","2.58M","0.11%"
"27-09-2024","65.50","65.89","65.99","65.38","1.51M","-0.47%"
"26-09-2024","65.81","65.59","65.88","65.41","1.62M","0.46%"
"25-09-2024","65.51","65.28","65.65","65.28","1.64M","0.92%"
"24-09-2024","64.91","65.00","65.29","64.78","2.26M","0.17%"
"23-09-2024","64.80","64.72","64.92","64.44","1.75M","0.78%"
"20-09-2024","64.30","64.41","64.41","63.95","1.54M","0.30%"
"19-09-2024","64.11","63.69","64.32","63.31","3.24M","0.69%"
"18-09-2024","63.67","63.77","63.98","63.57","612.38K","-0.16%"
"17-09-2024","63.77","63.96","63.96","63.65","2.39M","-0.30%"
"16-09-2024","63.96","64.23","64.23","63.69","1.24M","0.68%"
"13-09-2024","63.53","63.28","63.90","63.22","2.53M","1.71%"
"12-09-2024","62.46","62.55","62.63","62.35","654.34K","-0.18%"
"11-09-2024","62.57","62.74","62.75","62.33","1.36M","0.59%"
"10-09-2024","62.20","62.45","62.45","62.02","1.75M","0.06%"
"09-09-2024","62.16","62.40","62.51","61.79","4.49M","-0.70%"
"06-09-2024","62.60","62.30","62.88","62.30","2.68M","0.37%"
"05-09-2024","62.37","62.17","62.45","61.86","4.91M","1.18%"
