"Date","Price","Open","High","Low","Vol.","Change %"
"23-09-2024","62.81","63.60","63.60","62.56","12.23M","0.61%"
"20-09-2024","62.43","62.40","62.50","62.02","10.19M","0.39%"
"19-09-2024","62.19","61.68","62.23","61.11","13.00M","0.83%"
"18-09-2024","61.68","61.94","61.94","61.60","5.26M","-0.15%"
"17-09-2024","61.77","63.00","63.00","61.72","9.01M","-0.45%"
"16-09-2024","62.05","62.24","62.24","61.82","8.07M","0.67%"
"13-09-2024","61.64","61.84","61.84","61.24","13.93M","1.70%"
"12-09-2024","60.61","60.50","60.80","60.50","5.53M","-0.16%"
"11-09-2024","60.71","60.42","60.85","60.42","6.64M","0.58%"
"10-09-2024","60.36","60.50","60.75","60.12","5.44M","0.33%"
"09-09-2024","60.16","60.64","60.64","59.81","8.83M","-0.82%"
"06-09-2024","60.66","61.17","61.17","60.49","10.69M","0.18%"
"05-09-2024","60.55","60.00","60.57","60.00","5.06M","1.20%"
"04-09-2024","59.83","60.28","60.30","59.66","12.55M","-0.88%"
"03-09-2024","60.36","60.37","60.39","60.05","6.17M","0.18%"
